sku,total_dispensed,total_restocked,turnover
be61be55295db1941eaf232ee6288fa7,17352,30431.72,0.570194520717199
b1cfc8c80d03027941b0bce8d2ff3deb,21923,39167.32,0.55972683349282
93d664dddeea2dd49decf97035051e92,16496,37392.75,0.44115503673840517
ff9575eadeeb732ad8095286dc2bff82,13226,30431.72,0.43461230584403376
da3562c59621dd135d3f0255d3fb66aa,14854,34912.66,0.42546170930544963
05d98e5c2603bf927952aa3eb74d1fc3,12097,30159.48,0.4011010799920954
9a154810b166b91ae0c3d0cd84fb7e05,16243,42089.64,0.38591444355428084
b701576d3b2e8ea055ac68016e01668e,12385,37392.75,0.33121393853086495
690b7d2f4218991b6496be8eb456a943,12872,39167.32,0.32864132649361766
abc8b5d901bd3d2178a6ae3c7392227d,8673,30159.48,0.2875712711227117
75e40f05b77a18976fed8a76d9962f24,9737,34912.66,0.2788959649594158
78baaaf1b752a5358cb6835cf1a7ef8d,10870,39167.32,0.27752728550230144
7880eed2784835223e30bd67b198f7be,10268,37392.75,0.2745986855740752
2ecc882f649bf4ea25cf8a1a6eb77b6e,9586,34912.66,0.27457088632032045
e2f0ae8b2db933987082ffb201f5a5ed,9258,37869.48,0.24447127343707914
8270ca36d6d40203214e4f4303deacbb,10218,42089.64,0.24276757891015463
2f621fea30f47fc68073c52acc1a1108,8926,37392.75,0.23870937548054103
d46edd1070d98a224cfb1c1ed5967e12,8345,41597.78,0.20061166725724305
af90bd893233dab67c0e4adcf04fca82,5908,34905.39,0.16925752727587345
69c93e0ed056c1f8056e644a63612ea1,7101,42089.64,0.16871135034654608
0300087aca6bca74aea4cfa71bbb5adb,5659,34140.44,0.16575650460275262
d4f9dbd5a584b1b9f58285e01c443919,4533,33037.65,0.13720709554099642
d02640f72095f6b49a01a813b3f287f9,2766,20937.18,0.13210948179267695
1987e6b98c8edc352a961cc293ffe981,3719,28928.47,0.1285584754395929
5fd43334dbbeb041fc1f6be0ce5c40f6,4987,39167.32,0.12732553567617086
6673fe322a6101dadd4495a200f4223b,2568,24476.47,0.10491708976008386
0294e9ff7bc77c29cdd83b6125ee4940,3681,36801.27,0.10002372200741987
593e12052ccf13767eb920be91c5b048,2939,30681.39,0.09579096644578358
d19b668b7f4c6c8aecc4b979fb85230a,3777,41288.74,0.09147772491967544
89d8c198152456e1960e798f873c282f,3175,36318.67,0.08742060213108024
30ab8e0c136827fb3fd120a2ece62897,2211,26186.67,0.08443227031157456
099cc517501503ede4c1646885d437d7,2088,27279.93,0.07653978584255898
6049baba09d0c82b678cf212f8c3d66b,1602,21135.3,0.07579736270599424
9d65874b97267d3f2ec157913f6db867,2314,31767.35,0.07284208471905904
67f78c604d99fda34d75139394372fb1,231,3260.36,0.0708510716607982
9e1c6962a908ab352a3beb0671b732e5,1307,18586.14,0.07032121785373402
32e94919418a4d9229b1dff305c6a2c8,1443,21106.86,0.06836639841264877
1fc36e6327e578011358e52fcedfda9a,1805,26457.83,0.06822177026611781
912562560d2e2e4558eed7feaaf1cba1,2225,32996.02,0.06743237517736989
50f94b672688a4fff0f7d4af64f3ac98,629,10220.12,0.061545265613319605
1b28e970471a105335f8c9d673940d58,1224,20137.06,0.06078345101022691
d8f674f1baeb28ba583c9c467e67365d,1614,27307.75,0.05910410048429475
9ca540b446c8a33d4d0fde448acc26dd,1531,26028.51,0.05882011686416165
46c5e5cfed715631dafd6ef3774314ac,1650,28712.07,0.05746712097037936
82105f54039064dbddc2d59efa5377be,2223,38905.27,0.05713878865253988
13f6ca567dde83523d4c883c16b98148,1569,27776.71,0.056486171328425865
0851360c24bcd12096d67958f654db59,1286,23189.0,0.05545732890594678
44f0d77c1f85d9f46a31391fc406fa27,1699,31179.33,0.054491228644104925
59aeef56921214e309d716079777bdbc,1164,21537.02,0.054046474396179225
01bdf04bb36dfcd94a9ef6fce31afc59,454,8501.98,0.05339932580410681
d174ca773fd40173132afa19f0366bb4,141,2799.41,0.05036775606288468
033b262dad9e437f1864d875e073b328,1083,22099.23,0.04900623234384185
dbfa0f905c5f2cf16d9363eec63878a4,1200,27011.62,0.04442532510082698
baf46a5df691307a05dcf23887f2099a,1094,25128.8,0.043535704052720385
9d60025d39c34f6d75a0110e3957b79b,187,4315.02,0.04333699496178465
b75258a98f738311db28aacad46845b3,203,5011.15,0.04050966345050538
16eff917bdf1fbe64883aa4bb8b4a1f8,1074,28566.91,0.037595945798828086
44e72784da42f678759255c10c78a5fa,824,22326.92,0.03690612050385812
66050928694bb6ecbaa264b28365cba8,372,10112.97,0.03678444611226969
e7a4234982d59d2711cfd3f76de866ff,276,7661.47,0.03602441829048472
ca67f5df319c236afc1f4f6e3f62e3af,156,4395.08,0.035494234462171335
d1f0047ee0c954d039e175d0559bb29c,127,3676.74,0.03454146880116625
55a9483712810e661fa83bbeb780d8ba,897,26139.61,0.034315737686981554
66133559e0f832da8500b2127d18f9dc,1264,36991.64,0.03416988270863363
4a37f2a01e5bcb8047c22d426ace10f3,1006,31994.18,0.0314432187354075
cf7905882011327f64f363146d2967cb,1003,33601.27,0.029850062214910333
bebd1078d21f8b90d53127b956e3cfc9,108,3974.31,0.027174528408704907
f25382528bbc59704a0f32b0f929a532,279,10416.38,0.026784737115965435
df1f227ca6f5a237e8c15dd1311183e0,49,1884.23,0.02600531782213424
54db70a2f68c8c06bca03c8547a5b554,526,20421.13,0.025757634371849157
a5d00bb12cd51265c8d3b0b447d85964,233,9621.57,0.024216422060017232
a7f48cf1fe39ef9712cb253ca5fe8bc5,66,2753.36,0.023970712148066363
924aa4fc983c1f8364e5bd1f04cbb062,2,89.94,0.022237046920169003
b5089fb99e263d9345bd54e43426a614,41,2145.36,0.019111011671700786
a0b58e14d2d6c95d5c9e8ebb4db73e50,42,2303.9700000000003,0.018229404028698288
