sku,total_dispensed,total_restocked,turnover
69c93e0ed056c1f8056e644a63612ea1,7101,42089.64,0.16871135034654608
8270ca36d6d40203214e4f4303deacbb,10218,42089.64,0.24276757891015463
9a154810b166b91ae0c3d0cd84fb7e05,16243,42089.64,0.38591444355428084
d46edd1070d98a224cfb1c1ed5967e12,8345,41597.78,0.20061166725724305
d19b668b7f4c6c8aecc4b979fb85230a,3777,41288.74,0.09147772491967544
690b7d2f4218991b6496be8eb456a943,12872,39167.32,0.32864132649361766
b1cfc8c80d03027941b0bce8d2ff3deb,21923,39167.32,0.55972683349282
5fd43334dbbeb041fc1f6be0ce5c40f6,4987,39167.32,0.12732553567617086
78baaaf1b752a5358cb6835cf1a7ef8d,10870,39167.32,0.27752728550230144
82105f54039064dbddc2d59efa5377be,2223,38905.27,0.05713878865253988
