sku,total_dispensed,total_restocked,turnover
be61be55295db1941eaf232ee6288fa7,17352,30431.72,0.570194520717199
b1cfc8c80d03027941b0bce8d2ff3deb,21923,39167.32,0.55972683349282
93d664dddeea2dd49decf97035051e92,16496,37392.75,0.44115503673840517
ff9575eadeeb732ad8095286dc2bff82,13226,30431.72,0.43461230584403376
da3562c59621dd135d3f0255d3fb66aa,14854,34912.66,0.42546170930544963
05d98e5c2603bf927952aa3eb74d1fc3,12097,30159.48,0.4011010799920954
9a154810b166b91ae0c3d0cd84fb7e05,16243,42089.64,0.38591444355428084
b701576d3b2e8ea055ac68016e01668e,12385,37392.75,0.33121393853086495
690b7d2f4218991b6496be8eb456a943,12872,39167.32,0.32864132649361766
abc8b5d901bd3d2178a6ae3c7392227d,8673,30159.48,0.2875712711227117
