sku,month,qty_dispensed
93d664dddeea2dd49decf97035051e92,1,1660
93d664dddeea2dd49decf97035051e92,2,1140
93d664dddeea2dd49decf97035051e92,3,1132
93d664dddeea2dd49decf97035051e92,4,925
93d664dddeea2dd49decf97035051e92,5,1228
93d664dddeea2dd49decf97035051e92,6,1327
93d664dddeea2dd49decf97035051e92,7,1411
93d664dddeea2dd49decf97035051e92,8,1335
93d664dddeea2dd49decf97035051e92,9,1528
93d664dddeea2dd49decf97035051e92,10,1394
93d664dddeea2dd49decf97035051e92,11,1673
93d664dddeea2dd49decf97035051e92,12,1743
b1cfc8c80d03027941b0bce8d2ff3deb,1,1729
b1cfc8c80d03027941b0bce8d2ff3deb,2,1326
b1cfc8c80d03027941b0bce8d2ff3deb,3,1618
b1cfc8c80d03027941b0bce8d2ff3deb,4,1473
b1cfc8c80d03027941b0bce8d2ff3deb,5,1657
b1cfc8c80d03027941b0bce8d2ff3deb,6,1821
b1cfc8c80d03027941b0bce8d2ff3deb,7,2011
b1cfc8c80d03027941b0bce8d2ff3deb,8,1960
b1cfc8c80d03027941b0bce8d2ff3deb,9,1739
b1cfc8c80d03027941b0bce8d2ff3deb,10,2013
b1cfc8c80d03027941b0bce8d2ff3deb,11,2190
b1cfc8c80d03027941b0bce8d2ff3deb,12,2386
be61be55295db1941eaf232ee6288fa7,1,1400
be61be55295db1941eaf232ee6288fa7,2,1164
be61be55295db1941eaf232ee6288fa7,3,1225
be61be55295db1941eaf232ee6288fa7,4,1310
be61be55295db1941eaf232ee6288fa7,5,1430
be61be55295db1941eaf232ee6288fa7,6,1538
be61be55295db1941eaf232ee6288fa7,7,1730
be61be55295db1941eaf232ee6288fa7,8,2082
be61be55295db1941eaf232ee6288fa7,9,716
be61be55295db1941eaf232ee6288fa7,10,1075
be61be55295db1941eaf232ee6288fa7,11,1742
be61be55295db1941eaf232ee6288fa7,12,1940
da3562c59621dd135d3f0255d3fb66aa,1,1451
da3562c59621dd135d3f0255d3fb66aa,2,1251
da3562c59621dd135d3f0255d3fb66aa,3,1113
da3562c59621dd135d3f0255d3fb66aa,4,1109
da3562c59621dd135d3f0255d3fb66aa,5,1040
da3562c59621dd135d3f0255d3fb66aa,6,862
da3562c59621dd135d3f0255d3fb66aa,7,1100
da3562c59621dd135d3f0255d3fb66aa,8,1138
da3562c59621dd135d3f0255d3fb66aa,9,1175
da3562c59621dd135d3f0255d3fb66aa,10,1528
da3562c59621dd135d3f0255d3fb66aa,11,1519
da3562c59621dd135d3f0255d3fb66aa,12,1568
ff9575eadeeb732ad8095286dc2bff82,1,1098
ff9575eadeeb732ad8095286dc2bff82,2,870
ff9575eadeeb732ad8095286dc2bff82,3,1076
ff9575eadeeb732ad8095286dc2bff82,4,1049
ff9575eadeeb732ad8095286dc2bff82,5,1178
ff9575eadeeb732ad8095286dc2bff82,6,1145
ff9575eadeeb732ad8095286dc2bff82,7,1330
ff9575eadeeb732ad8095286dc2bff82,8,1393
ff9575eadeeb732ad8095286dc2bff82,9,558
ff9575eadeeb732ad8095286dc2bff82,10,807
ff9575eadeeb732ad8095286dc2bff82,11,1336
ff9575eadeeb732ad8095286dc2bff82,12,1386
